developer,mensaje
Muse Games,"Muse Games : Negative = 51, Neutral = 17, Positive = 10"
Muzzy Lane Software,"Muzzy Lane Software : Negative = 1, Neutral = 0, Positive = 0"
Myrtilus Entertainment,"Myrtilus Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Mystic Games,"Mystic Games : Negative = 1, Neutral = 0, Positive = 0"
N3V Games,"N3V Games : Negative = 3, Neutral = 0, Positive = 0"
NAMCO,"NAMCO : Negative = 3, Neutral = 0, Positive = 1"
NAMCO BANDAI Games,"NAMCO BANDAI Games : Negative = 0, Neutral = 2, Positive = 0"
NEXON Korea Corp.,"NEXON Korea Corp. : Negative = 4, Neutral = 5, Positive = 0"
NGD Studios,"NGD Studios : Negative = 2, Neutral = 0, Positive = 5"
NIGORO,"NIGORO : Negative = 1, Neutral = 1, Positive = 0"
NIKITA ONLINE,"NIKITA ONLINE : Negative = 2, Neutral = 0, Positive = 0"
Nabi Studios,"Nabi Studios : Negative = 45, Neutral = 21, Positive = 15"
Nadeo,"Nadeo : Negative = 12, Neutral = 2, Positive = 4"
Naiad Entertainment LLC,"Naiad Entertainment LLC : Negative = 0, Neutral = 0, Positive = 1"
Nate Schmold,"Nate Schmold : Negative = 1, Neutral = 0, Positive = 0"
Ndemic Creations,"Ndemic Creations : Negative = 23, Neutral = 8, Positive = 8"
Necrophone Games,"Necrophone Games : Negative = 14, Neutral = 7, Positive = 2"
Nekki GmbH,"Nekki GmbH : Negative = 1, Neutral = 1, Positive = 0"
Neko Entertainment,"Neko Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Nemesys Games,"Nemesys Games : Negative = 1, Neutral = 1, Positive = 0"
NeoCoreGames,"NeoCoreGames : Negative = 1, Neutral = 1, Positive = 0"
NeocoreGames,"NeocoreGames : Negative = 3, Neutral = 0, Positive = 3"
Nerdook Productions,"Nerdook Productions : Negative = 0, Neutral = 0, Positive = 1"
Netcore Games,"Netcore Games : Negative = 2, Neutral = 3, Positive = 0"
NetherRealm Studios,"NetherRealm Studios : Negative = 1, Neutral = 0, Positive = 1"
"NetherRealm Studios,High Voltage Software","NetherRealm Studios,High Voltage Software : Negative = 33, Neutral = 17, Positive = 19"
Never Don't Play,"Never Don't Play : Negative = 1, Neutral = 0, Positive = 0"
New World Interactive,"New World Interactive : Negative = 114, Neutral = 31, Positive = 38"
Nexon,"Nexon : Negative = 44, Neutral = 37, Positive = 27"
"Nicalis, Inc.","Nicalis, Inc. : Negative = 80, Neutral = 23, Positive = 33"
"Nicalis, Inc.,Edmund McMillen","Nicalis, Inc.,Edmund McMillen : Negative = 12, Neutral = 4, Positive = 6"
Niffler Ltd.,"Niffler Ltd. : Negative = 0, Neutral = 1, Positive = 0"
Night Node,"Night Node : Negative = 5, Neutral = 1, Positive = 0"
Nihon Falcom,"Nihon Falcom : Negative = 2, Neutral = 2, Positive = 0"
Nikita,"Nikita : Negative = 1, Neutral = 0, Positive = 0"
Nimbly Games,"Nimbly Games : Negative = 3, Neutral = 3, Positive = 0"
"Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka","Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka : Negative = 4, Neutral = 2, Positive = 4"
"Nina Freeman,Laura Knetzger,Stephen Lawrence Clark","Nina Freeman,Laura Knetzger,Stephen Lawrence Clark : Negative = 0, Neutral = 2, Positive = 0"
Nine Dots Studio,"Nine Dots Studio : Negative = 1, Neutral = 0, Positive = 0"
Ninja Kiwi,"Ninja Kiwi : Negative = 5, Neutral = 0, Positive = 4"
Ninja Theory,"Ninja Theory : Negative = 15, Neutral = 4, Positive = 4"
Nival,"Nival : Negative = 4, Neutral = 2, Positive = 3"
No More Room in Hell Team,"No More Room in Hell Team : Negative = 138, Neutral = 58, Positive = 73"
Noble Empire Corp.,"Noble Empire Corp. : Negative = 21, Neutral = 3, Positive = 5"
Nocturnal works,"Nocturnal works : Negative = 0, Neutral = 0, Positive = 1"
"Noio,Licorice","Noio,Licorice : Negative = 2, Neutral = 2, Positive = 0"
Nom Nom Games,"Nom Nom Games : Negative = 3, Neutral = 1, Positive = 1"
Nomad Games,"Nomad Games : Negative = 8, Neutral = 7, Positive = 1"
North of Earth,"North of Earth : Negative = 3, Neutral = 1, Positive = 0"
"Northway Games,Sarah Northway","Northway Games,Sarah Northway : Negative = 1, Neutral = 0, Positive = 1"
NotGames,"NotGames : Negative = 7, Neutral = 2, Positive = 7"
"Nova Dimension,Naga Entertainment","Nova Dimension,Naga Entertainment : Negative = 1, Neutral = 1, Positive = 0"
NovaLogic,"NovaLogic : Negative = 2, Neutral = 0, Positive = 0"
"Noviy Disk,Lesta Studios Inc","Noviy Disk,Lesta Studios Inc : Negative = 0, Neutral = 1, Positive = 0"
Numantian Games,"Numantian Games : Negative = 1, Neutral = 0, Positive = 0"
Number None,"Number None : Negative = 4, Neutral = 2, Positive = 0"
Nyamyam,"Nyamyam : Negative = 1, Neutral = 0, Positive = 0"
OCCA Studios,"OCCA Studios : Negative = 1, Neutral = 0, Positive = 0"
"OCR Dev Team,Onur Uça","OCR Dev Team,Onur Uça : Negative = 2, Neutral = 0, Positive = 0"
OVERDRIVE,"OVERDRIVE : Negative = 9, Neutral = 3, Positive = 2"
OVERKILL Software,"OVERKILL Software : Negative = 77, Neutral = 23, Positive = 44"
Obsidian Entertainment,"Obsidian Entertainment : Negative = 152, Neutral = 39, Positive = 65"
"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)","Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update) : Negative = 10, Neutral = 1, Positive = 0"
Octoshark Studios,"Octoshark Studios : Negative = 6, Neutral = 1, Positive = 3"
Oddworld Inhabitants,"Oddworld Inhabitants : Negative = 20, Neutral = 3, Positive = 2"
Odin Game Studio,"Odin Game Studio : Negative = 6, Neutral = 2, Positive = 2"
Offworld Industries,"Offworld Industries : Negative = 6, Neutral = 2, Positive = 1"
Old School Games,"Old School Games : Negative = 6, Neutral = 1, Positive = 1"
"Olde Sküül,Sculptured Software","Olde Sküül,Sculptured Software : Negative = 1, Neutral = 0, Positive = 0"
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano : Negative = 7, Neutral = 1, Positive = 0"
Omniconnection,"Omniconnection : Negative = 2, Neutral = 0, Positive = 1"
On The Level Game Studios,"On The Level Game Studios : Negative = 1, Neutral = 0, Positive = 0"
Onson Soft,"Onson Soft : Negative = 1, Neutral = 1, Positive = 0"
Oovee® Game Studios,"Oovee® Game Studios : Negative = 19, Neutral = 12, Positive = 4"
Opus,"Opus : Negative = 6, Neutral = 1, Positive = 1"
Orange_Juice,"Orange_Juice : Negative = 4, Neutral = 5, Positive = 3"
Orbital Knight,"Orbital Knight : Negative = 1, Neutral = 0, Positive = 0"
Oreol,"Oreol : Negative = 0, Neutral = 0, Positive = 1"
Organic Humans,"Organic Humans : Negative = 1, Neutral = 1, Positive = 0"
Orion Games,"Orion Games : Negative = 0, Neutral = 1, Positive = 0"
Orlyapps,"Orlyapps : Negative = 3, Neutral = 1, Positive = 1"
Orthogonal Games,"Orthogonal Games : Negative = 1, Neutral = 0, Positive = 0"
Oryx Design Lab,"Oryx Design Lab : Negative = 0, Neutral = 0, Positive = 1"
Ostrich Banditos,"Ostrich Banditos : Negative = 3, Neutral = 1, Positive = 1"
Osumia Games,"Osumia Games : Negative = 4, Neutral = 3, Positive = 2"
Other Ocean Interactive,"Other Ocean Interactive : Negative = 0, Neutral = 0, Positive = 1"
Outerlight Ltd.,"Outerlight Ltd. : Negative = 13, Neutral = 7, Positive = 7"
Outerminds Inc.,"Outerminds Inc. : Negative = 1, Neutral = 0, Positive = 0"
Over The Moon,"Over The Moon : Negative = 5, Neutral = 2, Positive = 0"
Over the Top Games,"Over the Top Games : Negative = 2, Neutral = 1, Positive = 0"
Owl Cave,"Owl Cave : Negative = 0, Neutral = 1, Positive = 0"
Owlchemy Labs,"Owlchemy Labs : Negative = 2, Neutral = 0, Positive = 1"
PERFECT PARALLEL,"PERFECT PARALLEL : Negative = 0, Neutral = 1, Positive = 0"
PIXOWL INC.,"PIXOWL INC. : Negative = 0, Neutral = 1, Positive = 2"
PIXYUL,"PIXYUL : Negative = 1, Neutral = 0, Positive = 0"
Pandemic Studios,"Pandemic Studios : Negative = 57, Neutral = 16, Positive = 17"
Panzer Gaming Studios,"Panzer Gaming Studios : Negative = 0, Neutral = 1, Positive = 0"
Paradox Development Studio,"Paradox Development Studio : Negative = 71, Neutral = 38, Positive = 20"
Passtech Games,"Passtech Games : Negative = 1, Neutral = 0, Positive = 0"
Pathea Games,"Pathea Games : Negative = 6, Neutral = 0, Positive = 2"
Paul Fisch,"Paul Fisch : Negative = 8, Neutral = 4, Positive = 3"
Payload Studios,"Payload Studios : Negative = 5, Neutral = 1, Positive = 0"
PestoForce,"PestoForce : Negative = 1, Neutral = 0, Positive = 0"
Peter Moorhead,"Peter Moorhead : Negative = 1, Neutral = 0, Positive = 0"
Petit Depotto,"Petit Depotto : Negative = 1, Neutral = 0, Positive = 0"
Petroglyph,"Petroglyph : Negative = 7, Neutral = 0, Positive = 0"
Phenomenon Games,"Phenomenon Games : Negative = 2, Neutral = 0, Positive = 0"
Phigames,"Phigames : Negative = 2, Neutral = 0, Positive = 0"
Phoenix Game Studio,"Phoenix Game Studio : Negative = 0, Neutral = 1, Positive = 0"
Phoenix Studio,"Phoenix Studio : Negative = 0, Neutral = 0, Positive = 1"
Phosphor Games Studio,"Phosphor Games Studio : Negative = 38, Neutral = 21, Positive = 13"
Photon Arena,"Photon Arena : Negative = 1, Neutral = 0, Positive = 0"
Phr00t's Software,"Phr00t's Software : Negative = 3, Neutral = 2, Positive = 1"
PiGravity,"PiGravity : Negative = 1, Neutral = 1, Positive = 2"
Pieces Interactive,"Pieces Interactive : Negative = 3, Neutral = 1, Positive = 2"
PillowPigGames,"PillowPigGames : Negative = 0, Neutral = 1, Positive = 0"
"Pinokl Games,Kverta","Pinokl Games,Kverta : Negative = 2, Neutral = 0, Positive = 0"
Piranha Bytes,"Piranha Bytes : Negative = 3, Neutral = 1, Positive = 0"
Piranha Games Inc.,"Piranha Games Inc. : Negative = 2, Neutral = 1, Positive = 0"
Pivotal Games,"Pivotal Games : Negative = 1, Neutral = 0, Positive = 0"
"Pixel Dash Studios, EQgames","Pixel Dash Studios, EQgames : Negative = 8, Neutral = 1, Positive = 3"
Pixel Ferrets,"Pixel Ferrets : Negative = 1, Neutral = 0, Positive = 0"
PixelFade Inc,"PixelFade Inc : Negative = 0, Neutral = 0, Positive = 1"
Pixeljam,"Pixeljam : Negative = 0, Neutral = 0, Positive = 2"
PlatinumGames,"PlatinumGames : Negative = 17, Neutral = 4, Positive = 6"
PlayWay S.A.,"PlayWay S.A. : Negative = 0, Neutral = 0, Positive = 1"
Playbrains,"Playbrains : Negative = 0, Neutral = 1, Positive = 1"
Playdead,"Playdead : Negative = 12, Neutral = 6, Positive = 6"
Playsaurus,"Playsaurus : Negative = 30, Neutral = 16, Positive = 27"
Pocketwatch Games,"Pocketwatch Games : Negative = 28, Neutral = 7, Positive = 9"
Point Five Projects,"Point Five Projects : Negative = 0, Neutral = 0, Positive = 1"
"PolarityFlow,Adrian Zingg","PolarityFlow,Adrian Zingg : Negative = 1, Neutral = 0, Positive = 0"
PolyKid,"PolyKid : Negative = 1, Neutral = 0, Positive = 0"
PolyPusher Studios,"PolyPusher Studios : Negative = 0, Neutral = 1, Positive = 0"
Polytron Corporation,"Polytron Corporation : Negative = 21, Neutral = 6, Positive = 4"
"PopCap Games, Inc.","PopCap Games, Inc. : Negative = 12, Neutral = 10, Positive = 9"
"PopTop Software,BreakAway Games,Frog City Software","PopTop Software,BreakAway Games,Frog City Software : Negative = 0, Neutral = 1, Positive = 0"
Poppermost Productions,"Poppermost Productions : Negative = 9, Neutral = 6, Positive = 0"
Portalarium,"Portalarium : Negative = 1, Neutral = 0, Positive = 0"
Positech Games,"Positech Games : Negative = 15, Neutral = 4, Positive = 8"
PostMod Softworks,"PostMod Softworks : Negative = 2, Neutral = 0, Positive = 0"
Power of 2,"Power of 2 : Negative = 13, Neutral = 6, Positive = 8"
Powerhoof,"Powerhoof : Negative = 3, Neutral = 1, Positive = 0"
Press Play,"Press Play : Negative = 1, Neutral = 0, Positive = 0"
Pribuni,"Pribuni : Negative = 0, Neutral = 1, Positive = 0"
Primal,"Primal : Negative = 1, Neutral = 0, Positive = 0"
Priority Interrupt,"Priority Interrupt : Negative = 5, Neutral = 0, Positive = 0"
Prism Game Studios Ltd.,"Prism Game Studios Ltd. : Negative = 15, Neutral = 1, Positive = 1"
ProjectorGames,"ProjectorGames : Negative = 0, Neutral = 4, Positive = 0"
Proton Studio Inc,"Proton Studio Inc : Negative = 9, Neutral = 1, Positive = 1"
Proxy Studios,"Proxy Studios : Negative = 1, Neutral = 0, Positive = 0"
Psychic Software,"Psychic Software : Negative = 2, Neutral = 2, Positive = 2"
"Psyonix, Inc.","Psyonix, Inc. : Negative = 78, Neutral = 30, Positive = 42"
Puny Human,"Puny Human : Negative = 9, Neutral = 3, Positive = 3"
Puppygames,"Puppygames : Negative = 6, Neutral = 1, Positive = 1"
Pwnee Studios,"Pwnee Studios : Negative = 0, Neutral = 1, Positive = 0"
Pyro Studios,"Pyro Studios : Negative = 3, Neutral = 2, Positive = 0"
Q-Games Ltd.,"Q-Games Ltd. : Negative = 0, Neutral = 0, Positive = 1"
QCF Design,"QCF Design : Negative = 2, Neutral = 0, Positive = 1"
QUICKTEQUILA,"QUICKTEQUILA : Negative = 1, Neutral = 3, Positive = 1"
"QUICKTEQUILA,Calum Bowen","QUICKTEQUILA,Calum Bowen : Negative = 1, Neutral = 0, Positive = 0"
Qooc Software,"Qooc Software : Negative = 1, Neutral = 1, Positive = 2"
Quantized Bit,"Quantized Bit : Negative = 0, Neutral = 1, Positive = 0"
Quantumfrog,"Quantumfrog : Negative = 0, Neutral = 0, Positive = 1"
Question,"Question : Negative = 2, Neutral = 0, Positive = 0"
Quickfire Games,"Quickfire Games : Negative = 1, Neutral = 1, Positive = 0"
Qwiboo Ltd,"Qwiboo Ltd : Negative = 0, Neutral = 1, Positive = 0"
REMIMORY,"REMIMORY : Negative = 3, Neutral = 0, Positive = 0"
Racing Bros,"Racing Bros : Negative = 3, Neutral = 1, Positive = 1"
"Radial Games Corp,Dejobaan Games, LLC","Radial Games Corp,Dejobaan Games, LLC : Negative = 5, Neutral = 0, Positive = 0"
"Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen","Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen : Negative = 3, Neutral = 0, Positive = 0"
Radiant Entertainment,"Radiant Entertainment : Negative = 4, Neutral = 1, Positive = 1"
Radical Entertainment,"Radical Entertainment : Negative = 9, Neutral = 2, Positive = 3"
Radical Fish Games,"Radical Fish Games : Negative = 1, Neutral = 0, Positive = 0"
RageSquid,"RageSquid : Negative = 0, Neutral = 1, Positive = 0"
Ragequit Corporation,"Ragequit Corporation : Negative = 7, Neutral = 5, Positive = 4"
Ragiva Games e.K.,"Ragiva Games e.K. : Negative = 1, Neutral = 0, Positive = 0"
Rail Slave Games,"Rail Slave Games : Negative = 3, Neutral = 5, Positive = 3"
Rain Games,"Rain Games : Negative = 0, Neutral = 1, Positive = 0"
Rainbow Games,"Rainbow Games : Negative = 1, Neutral = 0, Positive = 0"
"Rainbow Studios,THQ Nordic","Rainbow Studios,THQ Nordic : Negative = 1, Neutral = 0, Positive = 0"
Rake in Grass,"Rake in Grass : Negative = 3, Neutral = 0, Positive = 0"
Raptor Claw Games,"Raptor Claw Games : Negative = 0, Neutral = 1, Positive = 0"
Ratloop Asia,"Ratloop Asia : Negative = 1, Neutral = 2, Positive = 1"
"Raven Software,Aspyr (Mac)","Raven Software,Aspyr (Mac) : Negative = 8, Neutral = 2, Positive = 5"
Raylight Games,"Raylight Games : Negative = 0, Neutral = 1, Positive = 0"
Razorworks,"Razorworks : Negative = 2, Neutral = 0, Positive = 1"
Razvan,"Razvan : Negative = 0, Neutral = 0, Positive = 1"
Re-Logic,"Re-Logic : Negative = 446, Neutral = 97, Positive = 139"
Reactor Zero,"Reactor Zero : Negative = 1, Neutral = 0, Positive = 0"
Reakktor Studios,"Reakktor Studios : Negative = 4, Neutral = 3, Positive = 0"
Real Dynamics,"Real Dynamics : Negative = 0, Neutral = 0, Positive = 1"
Reality Pump,"Reality Pump : Negative = 2, Neutral = 2, Positive = 1"
Reality Pump Studios,"Reality Pump Studios : Negative = 5, Neutral = 2, Positive = 2"
Realmforge Studios,"Realmforge Studios : Negative = 2, Neutral = 0, Positive = 1"
Rebellion,"Rebellion : Negative = 93, Neutral = 27, Positive = 26"
Recoil Games,"Recoil Games : Negative = 4, Neutral = 1, Positive = 0"
Red Barrels,"Red Barrels : Negative = 32, Neutral = 29, Positive = 20"
Red Duck Inc.,"Red Duck Inc. : Negative = 3, Neutral = 4, Positive = 3"
Red Dwarf Games,"Red Dwarf Games : Negative = 3, Neutral = 1, Positive = 0"
Red Hook Studios,"Red Hook Studios : Negative = 12, Neutral = 8, Positive = 3"
Red Storm Entertainment,"Red Storm Entertainment : Negative = 0, Neutral = 1, Positive = 1"
"Red Storm Entertainment,Ubisoft Montreal","Red Storm Entertainment,Ubisoft Montreal : Negative = 1, Neutral = 0, Positive = 0"
Red Team Games,"Red Team Games : Negative = 1, Neutral = 0, Positive = 0"
Red Thread Games,"Red Thread Games : Negative = 1, Neutral = 0, Positive = 1"
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev","RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev : Negative = 3, Neutral = 1, Positive = 0"
Redlynx,"Redlynx : Negative = 1, Neutral = 0, Positive = 0"
"Redlynx Ltd,Ubisoft  Shanghaï","Redlynx Ltd,Ubisoft  Shanghaï : Negative = 4, Neutral = 5, Positive = 2"
Redshift,"Redshift : Negative = 1, Neutral = 0, Positive = 0"
Redwood Games,"Redwood Games : Negative = 1, Neutral = 0, Positive = 0"
Reiza Studios,"Reiza Studios : Negative = 0, Neutral = 0, Positive = 1"
Relic,"Relic : Negative = 7, Neutral = 3, Positive = 2"
Relic Entertainment,"Relic Entertainment : Negative = 37, Neutral = 8, Positive = 13"
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 49, Neutral = 8, Positive = 14"
"Relic Entertainment,Feral Interactive (Mac/Linux)","Relic Entertainment,Feral Interactive (Mac/Linux) : Negative = 11, Neutral = 4, Positive = 5"
"Relic Entertainment,THQ Nordic","Relic Entertainment,THQ Nordic : Negative = 1, Neutral = 0, Positive = 0"
Reloaded Productions,"Reloaded Productions : Negative = 70, Neutral = 34, Positive = 43"
Remedy Entertainment,"Remedy Entertainment : Negative = 26, Neutral = 6, Positive = 3"
Renegade Kid,"Renegade Kid : Negative = 0, Neutral = 1, Positive = 0"
Replay Studios,"Replay Studios : Negative = 1, Neutral = 0, Positive = 1"
Reto-Moto,"Reto-Moto : Negative = 112, Neutral = 42, Positive = 34"
Retro Army Limited,"Retro Army Limited : Negative = 1, Neutral = 0, Positive = 0"
Retro Yeti Games,"Retro Yeti Games : Negative = 3, Neutral = 1, Positive = 1"
Retroism,"Retroism : Negative = 0, Neutral = 0, Positive = 1"
Retronic Games,"Retronic Games : Negative = 1, Neutral = 0, Positive = 0"
Reverie World Studios,"Reverie World Studios : Negative = 8, Neutral = 1, Positive = 2"
Revolution Software Ltd,"Revolution Software Ltd : Negative = 1, Neutral = 1, Positive = 0"
Rising Star Games,"Rising Star Games : Negative = 0, Neutral = 2, Positive = 0"
Rival Games Ltd,"Rival Games Ltd : Negative = 1, Neutral = 0, Positive = 0"
Rob Howland,"Rob Howland : Negative = 3, Neutral = 0, Positive = 0"
RobTop Games,"RobTop Games : Negative = 32, Neutral = 9, Positive = 11"
Robot Entertainment,"Robot Entertainment : Negative = 26, Neutral = 6, Positive = 12"
Robot Gentleman,"Robot Gentleman : Negative = 1, Neutral = 2, Positive = 0"
Robotronic Games,"Robotronic Games : Negative = 3, Neutral = 4, Positive = 0"
Rocket Bear Games,"Rocket Bear Games : Negative = 3, Neutral = 0, Positive = 0"
"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC : Negative = 9, Neutral = 3, Positive = 1"
Rockstar Games,"Rockstar Games : Negative = 29, Neutral = 7, Positive = 20"
Rockstar New England,"Rockstar New England : Negative = 14, Neutral = 5, Positive = 3"
Rockstar North,"Rockstar North : Negative = 122, Neutral = 53, Positive = 85"
Rockstar North / Toronto,"Rockstar North / Toronto : Negative = 8, Neutral = 0, Positive = 1"
Rockstar Studios,"Rockstar Studios : Negative = 24, Neutral = 7, Positive = 10"
Rocksteady Studios,"Rocksteady Studios : Negative = 22, Neutral = 23, Positive = 6"
"Rocksteady Studios,Feral Interactive (Mac)","Rocksteady Studios,Feral Interactive (Mac) : Negative = 63, Neutral = 14, Positive = 26"
"Rodeo Games,Twistplay","Rodeo Games,Twistplay : Negative = 1, Neutral = 0, Positive = 0"
Rogue Factor,"Rogue Factor : Negative = 0, Neutral = 1, Positive = 0"
Rogue Snail,"Rogue Snail : Negative = 4, Neutral = 1, Positive = 2"
Roll7,"Roll7 : Negative = 3, Neutral = 0, Positive = 1"
"Roll7,General Arcade","Roll7,General Arcade : Negative = 2, Neutral = 1, Positive = 1"
Ronimo Games,"Ronimo Games : Negative = 107, Neutral = 23, Positive = 20"
Rooster Teeth Games,"Rooster Teeth Games : Negative = 10, Neutral = 1, Positive = 2"
Rovio Entertainment Ltd,"Rovio Entertainment Ltd : Negative = 2, Neutral = 0, Positive = 0"
Rsupport Inc.,"Rsupport Inc. : Negative = 2, Neutral = 0, Positive = 0"
Rubycone,"Rubycone : Negative = 1, Neutral = 2, Positive = 0"
"Rudolf Kremers &amp; Alex May,Tuna","Rudolf Kremers &amp; Alex May,Tuna : Negative = 1, Neutral = 0, Positive = 0"
Rune Forge,"Rune Forge : Negative = 1, Neutral = 0, Positive = 0"
Runic Games,"Runic Games : Negative = 55, Neutral = 17, Positive = 16"
Running With Scissors,"Running With Scissors : Negative = 35, Neutral = 26, Positive = 23"
Russpuppy,"Russpuppy : Negative = 0, Neutral = 0, Positive = 1"
S.C. 16 BIT NIGHTS S.R.L.,"S.C. 16 BIT NIGHTS S.R.L. : Negative = 3, Neutral = 1, Positive = 0"
S2 Games,"S2 Games : Negative = 5, Neutral = 3, Positive = 2"
SCS Software,"SCS Software : Negative = 56, Neutral = 29, Positive = 22"
SEGA,"SEGA : Negative = 22, Neutral = 8, Positive = 3"
"SEGA Studios Australia,Feral Interactive (Mac)","SEGA Studios Australia,Feral Interactive (Mac) : Negative = 0, Neutral = 1, Positive = 0"
SFB Games,"SFB Games : Negative = 2, Neutral = 0, Positive = 0"
SMG Studio,"SMG Studio : Negative = 2, Neutral = 1, Positive = 0"
SNK CORPORATION,"SNK CORPORATION : Negative = 2, Neutral = 2, Positive = 3"
"SNK CORPORATION,Code Mystics","SNK CORPORATION,Code Mystics : Negative = 0, Neutral = 0, Positive = 2"
"SNK CORPORATION,DotEmu","SNK CORPORATION,DotEmu : Negative = 8, Neutral = 3, Positive = 7"
STRIKEWORKS,"STRIKEWORKS : Negative = 2, Neutral = 0, Positive = 0"
STUDIO RADI-8,"STUDIO RADI-8 : Negative = 3, Neutral = 2, Positive = 0"
Saber Interactive,"Saber Interactive : Negative = 3, Neutral = 0, Positive = 0"
"Sachonski,Renamilanesi,Sith","Sachonski,Renamilanesi,Sith : Negative = 1, Neutral = 1, Positive = 0"
Sakari Indie,"Sakari Indie : Negative = 1, Neutral = 0, Positive = 0"
Sakari Indie &amp; GriN,"Sakari Indie &amp; GriN : Negative = 1, Neutral = 0, Positive = 0"
Sakura River Interactive,"Sakura River Interactive : Negative = 3, Neutral = 0, Positive = 0"
Samurai Punk,"Samurai Punk : Negative = 6, Neutral = 0, Positive = 1"
Sandlot Games,"Sandlot Games : Negative = 1, Neutral = 0, Positive = 0"
Sandswept Studios,"Sandswept Studios : Negative = 1, Neutral = 2, Positive = 0"
Santa Ragione,"Santa Ragione : Negative = 0, Neutral = 2, Positive = 2"
Sapphire Dragon Productions,"Sapphire Dragon Productions : Negative = 1, Neutral = 1, Positive = 1"
Sauropod Studio,"Sauropod Studio : Negative = 4, Neutral = 3, Positive = 0"
Scary Bee LLC,"Scary Bee LLC : Negative = 0, Neutral = 1, Positive = 0"
"Schine, GmbH","Schine, GmbH : Negative = 5, Neutral = 1, Positive = 0"
Scirra,"Scirra : Negative = 1, Neutral = 0, Positive = 0"
Scott Cawthon,"Scott Cawthon : Negative = 96, Neutral = 67, Positive = 53"
Screwfly Studios,"Screwfly Studios : Negative = 1, Neutral = 0, Positive = 0"
Sean Davy,"Sean Davy : Negative = 0, Neutral = 0, Positive = 1"
Sebastian Nigro,"Sebastian Nigro : Negative = 1, Neutral = 0, Positive = 0"
Secret Base,"Secret Base : Negative = 0, Neutral = 1, Positive = 0"
Secret Exit Ltd.,"Secret Exit Ltd. : Negative = 13, Neutral = 9, Positive = 4"
Section Studios,"Section Studios : Negative = 11, Neutral = 4, Positive = 5"
Sector3 Studios,"Sector3 Studios : Negative = 10, Neutral = 7, Positive = 4"
Semaphore,"Semaphore : Negative = 2, Neutral = 2, Positive = 1"
Serenity Forge,"Serenity Forge : Negative = 1, Neutral = 0, Positive = 0"
Serious Brew,"Serious Brew : Negative = 1, Neutral = 0, Positive = 0"
Shadow Planet Productions,"Shadow Planet Productions : Negative = 0, Neutral = 1, Positive = 0"
Shark Punch,"Shark Punch : Negative = 1, Neutral = 0, Positive = 0"
ShaunJS,"ShaunJS : Negative = 0, Neutral = 1, Positive = 0"
Shawn Beck,"Shawn Beck : Negative = 1, Neutral = 0, Positive = 1"
Sherman3D,"Sherman3D : Negative = 0, Neutral = 1, Positive = 0"
Shield Break Studios,"Shield Break Studios : Negative = 1, Neutral = 0, Positive = 0"
Shifty Chair Games,"Shifty Chair Games : Negative = 1, Neutral = 0, Positive = 0"
Shining Gate Software,"Shining Gate Software : Negative = 1, Neutral = 0, Positive = 0"
Shining Rock Software LLC,"Shining Rock Software LLC : Negative = 34, Neutral = 15, Positive = 6"
Shiny Entertainment,"Shiny Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Shiro Games,"Shiro Games : Negative = 6, Neutral = 4, Positive = 2"
Shiver Games,"Shiver Games : Negative = 4, Neutral = 2, Positive = 1"
Shortbreak Studios s.c.,"Shortbreak Studios s.c. : Negative = 2, Neutral = 3, Positive = 2"
Shumkov Dmitriy,"Shumkov Dmitriy : Negative = 23, Neutral = 16, Positive = 14"
Sigma Team Inc.,"Sigma Team Inc. : Negative = 0, Neutral = 1, Positive = 0"
Signal Studios,"Signal Studios : Negative = 1, Neutral = 0, Positive = 0"
"Signal Studios,Krome Studios","Signal Studios,Krome Studios : Negative = 1, Neutral = 1, Positive = 0"
"Signal Studios,Smart Ghost","Signal Studios,Smart Ghost : Negative = 6, Neutral = 3, Positive = 1"
Silesia Games Sp. z o.o.,"Silesia Games Sp. z o.o. : Negative = 0, Neutral = 1, Positive = 0"
Silk Games,"Silk Games : Negative = 0, Neutral = 1, Positive = 0"
Silver Dollar Games,"Silver Dollar Games : Negative = 21, Neutral = 13, Positive = 7"
Silver Wish Games,"Silver Wish Games : Negative = 0, Neutral = 1, Positive = 0"
"Silverlode Interactive,Wasatch Games","Silverlode Interactive,Wasatch Games : Negative = 0, Neutral = 1, Positive = 0"
SimBin,"SimBin : Negative = 2, Neutral = 1, Positive = 2"
